q_base,deltaC_over_Cbase,threshold_qL,advantage_possible
0.006,0.43,-0.42141999999999996,False
0.006,0.44,-0.43136,False
0.006,0.45,-0.4413,False
0.006,0.46,-0.45124000000000003,False
0.006,0.47000000000000003,-0.46118000000000003,False
0.006,0.48,-0.47112,False
0.006,0.49,-0.48106,False
0.006,0.5,-0.491,False
0.006,0.51,-0.50094,False
0.006,0.52,-0.51088,False
0.006,0.53,-0.5208200000000001,False
0.006,0.54,-0.53076,False
0.006,0.55,-0.5407000000000001,False
0.006,0.56,-0.55064,False
0.006,0.5700000000000001,-0.5605800000000001,False
0.006,0.58,-0.5705199999999999,False
0.006,0.59,-0.58046,False
0.006,0.6,-0.5903999999999999,False
0.006,0.61,-0.60034,False
0.006,0.62,-0.6102799999999999,False
0.006,0.63,-0.62022,False
0.006,0.64,-0.63016,False
0.006,0.65,-0.6401,False
0.006,0.66,-0.6500400000000001,False
0.006,0.67,-0.65998,False
0.006,0.68,-0.6699200000000001,False
0.006,0.6900000000000001,-0.67986,False
0.006,0.7000000000000001,-0.6898000000000001,False
0.006,0.71,-0.6997399999999999,False
0.006,0.72,-0.70968,False
0.006,0.73,-0.7196199999999999,False
0.006,0.74,-0.72956,False
0.006,0.75,-0.7395,False
0.006,0.76,-0.74944,False
0.006,0.77,-0.75938,False
0.006,0.78,-0.76932,False
0.006,0.79,-0.7792600000000001,False
0.006,0.8,-0.7892,False
0.006,0.81,-0.7991400000000001,False
0.006,0.8200000000000001,-0.80908,False
0.006,0.8300000000000001,-0.8190200000000001,False
0.006,0.84,-0.8289599999999999,False
0.006,0.85,-0.8389,False
0.006,0.86,-0.8488399999999999,False
0.006,0.87,-0.85878,False
0.006,0.88,-0.86872,False
0.006,0.89,-0.87866,False
0.006,0.9,-0.8886000000000001,False
0.006,0.91,-0.89854,False
0.006,0.92,-0.9084800000000001,False
0.006,0.93,-0.91842,False
0.006,0.9400000000000001,-0.9283600000000001,False
0.006,0.9500000000000001,-0.9383,False
0.006,0.96,-0.94824,False
0.006,0.97,-0.9581799999999999,False
0.006,0.98,-0.96812,False
0.006,0.99,-0.9780599999999999,False
0.006,1.0,-0.988,False
0.006,1.01,-0.99794,False
0.006,1.02,-1.00788,False
0.006,1.03,-1.01782,False
0.006,1.04,-1.02776,False
0.006,1.05,-1.0377,False
0.006,1.06,-1.0476400000000001,False
0.006,1.07,-1.05758,False
0.006,1.08,-1.06752,False
0.006,1.09,-1.07746,False
0.006,1.1,-1.0874000000000001,False
0.006,1.11,-1.09734,False
0.006,1.12,-1.10728,False
0.006,1.1300000000000001,-1.11722,False
0.006,1.1400000000000001,-1.1271600000000002,False
0.006,1.1500000000000001,-1.1371000000000002,False
0.006,1.16,-1.1470399999999998,False
0.006,1.17,-1.15698,False
0.006,1.18,-1.16692,False
0.006,1.19,-1.17686,False
0.006,1.2,-1.1867999999999999,False
0.006,1.21,-1.19674,False
0.006,1.22,-1.20668,False
0.006,1.23,-1.21662,False
0.006,1.24,-1.2265599999999999,False
0.006,1.25,-1.2365,False
0.006,1.26,-1.24644,False
0.006,1.27,-1.25638,False
0.006,1.28,-1.2663200000000001,False
0.006,1.29,-1.27626,False
0.006,1.3,-1.2862,False
0.006,1.31,-1.29614,False
0.006,1.32,-1.3060800000000001,False
0.006,1.33,-1.31602,False
0.006,1.34,-1.32596,False
0.006,1.35,-1.3359,False
0.006,1.36,-1.3458400000000001,False
0.006,1.37,-1.35578,False
0.006,1.3800000000000001,-1.36572,False
0.006,1.3900000000000001,-1.37566,False
0.006,1.4000000000000001,-1.3856000000000002,False
0.006,1.41,-1.39554,False
0.006,1.42,-1.4054799999999998,False
0.006,1.43,-1.41542,False
0.006,1.44,-1.42536,False
0.006,1.45,-1.4353,False
0.006,1.46,-1.4452399999999999,False
0.006,1.47,-1.45518,False
0.006,1.48,-1.46512,False
0.006,1.49,-1.47506,False
0.006,1.5,-1.485,False
0.006,1.51,-1.49494,False
0.006,1.52,-1.50488,False
0.006,1.53,-1.51482,False
0.006,1.54,-1.5247600000000001,False
0.006,1.55,-1.5347,False
0.006,1.56,-1.54464,False
0.006,1.57,-1.55458,False
0.006,1.58,-1.5645200000000001,False
0.006,1.59,-1.57446,False
0.006,1.6,-1.5844,False
0.006,1.61,-1.59434,False
0.006,1.62,-1.6042800000000002,False
0.006,1.6300000000000001,-1.6142200000000002,False
0.006,1.6400000000000001,-1.62416,False
0.006,1.6500000000000001,-1.6341,False
0.006,1.6600000000000001,-1.6440400000000002,False
0.006,1.67,-1.65398,False
0.006,1.68,-1.6639199999999998,False
0.006,1.69,-1.67386,False
0.006,1.7,-1.6838,False
0.006,1.71,-1.69374,False
0.006,1.72,-1.7036799999999999,False
0.006,1.73,-1.71362,False
0.006,1.74,-1.72356,False
0.006,1.75,-1.7335,False
0.006,1.76,-1.74344,False
0.006,1.77,-1.75338,False
0.006,1.78,-1.76332,False
0.006,1.79,-1.77326,False
0.006,1.8,-1.7832000000000001,False
0.006,1.81,-1.79314,False
0.006,1.82,-1.80308,False
0.006,1.83,-1.81302,False
0.006,1.84,-1.8229600000000001,False
0.006,1.85,-1.8329,False
0.006,1.86,-1.84284,False
0.006,1.87,-1.85278,False
0.006,1.8800000000000001,-1.8627200000000002,False
0.006,1.8900000000000001,-1.8726600000000002,False
0.006,1.9000000000000001,-1.8826,False
0.006,1.9100000000000001,-1.8925400000000001,False
0.006,1.92,-1.90248,False
0.006,1.93,-1.91242,False
